"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","key_press","button_pressed","choices","target","block","task","accuracy","video","condition"
"audio-button-response","27","47901","0.0-5.0-1.5-1.5","","","473.3600000035949","audio/shoerecording2.mp3","","3","pol_images/teddybear.jpg,pol_images/stool.jpg,pol_images/sandwich.jpg,pol_images/shoe.jpg","pol_images/shoe.jpg","intro","polysemy","true","",""
"audio-keyboard-response","28","51008","0.0-5.0-2.5","","","null","audio/answer-correct.mp3","null","","","","","","","",""
"html-button-response","29","52158","0.0-5.0-0.6","","","1048.0149999493733","","","0","","","","","","",""
"audio-button-response","30","54264","0.0-5.0-1.6-0.6","","","null","audio/flowerrecording1.mp3","","null","","","","","","",""
"audio-button-response","31","55919","0.0-5.0-1.6-1.6","","","1550.21499999566","audio/flowerrecording2.mp3","","1","pol_images/pizza.jpg,pol_images/flower.jpg,pol_images/starfish.jpg,pol_images/toy.jpg","pol_images/flower.jpg","intro","polysemy","true","",""
"audio-keyboard-response","32","59027","0.0-5.0-2.6","","","null","audio/answer-correct.mp3","null","","","","","","","",""
"html-button-response","33","60064","0.0-5.0-0.7","","","932.3799999547191","","","0","","","","","","",""
"audio-button-response","34","62172","0.0-5.0-1.7-0.7","","","1919.8399999877438","audio/footrecording1.mp3","","1","","","","","","",""
"audio-button-response","35","63483","0.0-5.0-1.7-1.7","","","1204.7050000401214","audio/footrecording2.mp3","","1","pol_images/neck.jpg,pol_images/foot.jpg,pol_images/hand.jpg,pol_images/shoulder.jpg","pol_images/foot.jpg","intro","polysemy","true","",""
"audio-keyboard-response","36","66590","0.0-5.0-2.7","","","null","audio/answer-correct.mp3","null","","","","","","","",""
"audio-keyboard-response","37","69195","0.0-6.0","","","null","audio/instructions_keepgoing.wav","null","","","","","","","",""
"audio-keyboard-response","38","72475","0.0-7.0","","","null","audio/instructions_waitfull.mp3","null","","","","","","","",""
"html-button-response","39","73341","0.0-8.0-0.0","","","765.0000000139698","","","0","","","","","","",""
"audio-button-response","40","75646","0.0-8.0-1.0","","","2200.124999973923","audio/hornrecording.mp3","","0","pol_images/hornA.jpg,pol_images/distractor1.jpg,pol_images/distractor11.jpg,pol_images/distractor25.jpg","pol_images/hornA.jpg","choose","polysemy","true","",""
"html-button-response","41","76627","0.0-8.0-0.1","","","879.0949999820441","","","0","","","","","","",""
"audio-button-response","42","78859","0.0-8.0-1.1","","","2127.535000036005","audio/balloonrecording.mp3","","1","pol_images/distractor26.jpg,pol_images/balloonA.jpg,pol_images/distractor53.jpg,pol_images/distractor15.jpg","pol_images/balloonA.jpg","choose","polysemy","true","",""
