"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","key_press","button_pressed","choices","target","block","task","accuracy","video","condition","responses"
"html-button-response","135","191225","0.0-16.0-0.4","","","488","","","0","","","","","","","",""
"image-button-response","136","193790","0.0-16.0-1.4","","","2462","pal_images/sandbox.jpg","","1","pal_images/iconic_sandbox.jpg,pal_images/amb_sandbox.jpg","pal_images/amb_sandbox.jpg","test","pal","true","","2",""
"html-button-response","137","194622","0.0-16.0-0.5","","","729.9999999999709","","","0","","","","","","","",""
"image-button-response","138","195745","0.0-16.0-1.5","","","1022","pal_images/butterfly.jpg","","1","pal_images/random3.jpg,pal_images/iconic_butterfly.jpg","pal_images/iconic_butterfly.jpg","test","pal","true","","2",""
"html-button-response","139","196198","0.0-16.0-0.6","","","350","","","0","","","","","","","",""
"image-button-response","140","197175","0.0-16.0-1.6","","","877","pal_images/bib.jpg","","0","pal_images/iconic_bib.jpg,pal_images/random10.jpg","pal_images/iconic_bib.jpg","test","pal","true","","2",""
"html-button-response","141","197571","0.0-16.0-0.7","","","293.0000000000291","","","0","","","","","","","",""
"image-button-response","142","198993","0.0-16.0-1.7","","","1320","pal_images/table.jpg","","0","pal_images/amb_table.jpg,pal_images/iconic_table.jpg","pal_images/amb_table.jpg","test","pal","true","","2",""
"survey-text","143","209394","0.0-17.0","","","10280.99999999997","","","","","","","","","","","{""feedback"":""test- lo- looking good again!!!""}"
"audio-keyboard-response","144","211947","0.0-18.0","","","null","audio/done.mp3","null","","","","","","","","",""
