"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","key_press","button_pressed","choices","target","block","task","accuracy","video"
"audio-button-response","44","141949","0.0-8.0-1.2","","","469.1549999988638","audio/balloonrecording.mp3","","2","pol_images/distractor13.jpg,pol_images/distractor26.jpg,pol_images/balloonA.jpg,pol_images/distractor32.jpg","pol_images/balloonA.jpg","choose","polysemy","true",""
"html-button-response","45","142454","0.0-8.0-0.3","","","401.1900000041351","","","0","","","","","",""
"audio-button-response","46","142976","0.0-8.0-1.3","","","407.4900000123307","audio/hornrecording.mp3","","2","pol_images/distractor46.jpg,pol_images/distractor31.jpg,pol_images/hornA.jpg,pol_images/distractor24.jpg","pol_images/hornA.jpg","choose","polysemy","true",""
"html-button-response","47","143497","0.0-8.0-0.4","","","416.6749999858439","","","0","","","","","",""
"audio-button-response","48","144036","0.0-8.0-1.4","","","428.21000001276843","audio/sheetrecording.mp3","","2","pol_images/distractor15.jpg,pol_images/distractor10.jpg,pol_images/distractor35.jpg,pol_images/sheetB.jpg","pol_images/sheetB.jpg","choose","polysemy","false",""
"html-button-response","49","145267","0.0-8.0-0.5","","","1129.6999999904074","","","0","","","","","",""
"audio-button-response","50","145782","0.0-8.0-1.5","","","406.98499997961335","audio/hornrecording.mp3","","2","pol_images/distractor33.jpg,pol_images/hornC.jpg,pol_images/distractor52.jpg,pol_images/distractor29.jpg","pol_images/hornC.jpg","choose","polysemy","false",""
"html-button-response","51","146294","0.0-8.0-0.6","","","409.6750000026077","","","0","","","","","",""
"audio-button-response","52","146783","0.0-8.0-1.6","","","377.0150000054855","audio/hornrecording.mp3","","2","pol_images/hornB.jpg,pol_images/distractor34.jpg,pol_images/distractor11.jpg,pol_images/distractor2.jpg","pol_images/hornB.jpg","choose","polysemy","false",""
"html-button-response","53","147264","0.0-8.0-0.7","","","376.7150000203401","","","0","","","","","",""
"audio-button-response","54","147713","0.0-8.0-1.7","","","338.66999999736436","audio/glassesrecording-whichis.mp3","","2","pol_images/distractor17.jpg,pol_images/distractor50.jpg,pol_images/glassesB.jpg,pol_images/distractor45.jpg","pol_images/glassesB.jpg","choose","polysemy","true",""
